Date,Up
6/6/2017,-199.802
6/7/2017,-218.198
6/8/2017,-209.957
6/9/2017,-209.331
6/10/2017,-209.851
6/11/2017,-217.081
6/12/2017,-207.944
6/13/2017,-215.77
6/14/2017,-206.913
6/15/2017,-219.37
6/16/2017,-203.808
6/17/2017,-212.983
6/18/2017,-212.457
6/19/2017,-204.077
6/20/2017,-216.691
6/21/2017,-205.643
6/22/2017,-216.134
6/23/2017,-217.295
6/24/2017,-210.765
6/25/2017,-224.517
6/26/2017,-226.124
6/27/2017,-207.275
6/28/2017,-205.605
6/29/2017,-217.373
6/30/2017,-220.514
7/1/2017,-216.298
7/2/2017,-213.055
7/3/2017,-211.38
7/4/2017,-220.17
7/5/2017,-219.259
7/6/2017,-219.663
7/7/2017,-231.133
7/8/2017,-213.376
7/9/2017,-222.222
7/10/2017,-226.006
7/11/2017,-228.085
7/12/2017,-232.016
7/13/2017,-238.048
7/14/2017,-229.468
7/15/2017,-222.347
7/16/2017,-224.531
7/17/2017,-225.529
7/18/2017,-222.744
7/19/2017,-223.475
7/20/2017,-231.605
7/21/2017,-228.285
7/22/2017,-242.736
7/23/2017,-229.408
7/24/2017,-231.446
7/25/2017,-229.699
7/26/2017,-239.507
7/27/2017,-238.087
7/28/2017,-239.113
7/29/2017,-233.103
7/30/2017,-233.133
7/31/2017,-235.01
8/1/2017,-232.206
8/2/2017,-240.51
8/3/2017,-232.551
8/4/2017,-234.375
8/5/2017,-232.677
8/6/2017,-249.73
8/7/2017,-246.373
8/8/2017,-250.96
8/9/2017,-234.376
8/10/2017,-236.197
8/11/2017,-242.74
8/12/2017,-243.023
8/13/2017,-245.171
8/14/2017,-249.268
8/15/2017,-256.324
8/16/2017,-251.739
8/17/2017,-247.405
8/18/2017,-249.95
8/19/2017,-239.475
8/20/2017,-254.042
8/21/2017,-241.179
8/22/2017,-242.608
8/23/2017,-247.172
8/24/2017,-246.632
8/25/2017,-247.33
8/26/2017,-257.774
8/27/2017,-245.158
8/28/2017,-244.561
8/29/2017,-261.802
8/30/2017,-246.859
8/31/2017,-261.345
9/1/2017,-259.526
9/2/2017,-262.929
9/3/2017,-241.241
9/4/2017,-255.2
9/5/2017,-246.951
9/6/2017,-264.819
9/7/2017,-250.645
9/8/2017,-248.976
9/9/2017,-246.163
9/10/2017,-263.059
9/11/2017,-254.219
9/12/2017,-274.129
9/13/2017,-263.616
9/14/2017,-273.405
9/15/2017,-256.815
9/16/2017,-264.7
9/17/2017,-252.045
9/18/2017,-262.13
9/19/2017,-257.474
9/20/2017,-255.781
9/21/2017,-251.23
9/22/2017,-254.571
9/23/2017,-255.395
9/24/2017,-255.296
9/25/2017,-262.31
9/26/2017,-264.142
9/27/2017,-264.035
9/28/2017,-259.254
9/29/2017,-250.831
9/30/2017,-263.478
10/1/2017,-277.53
10/2/2017,-260.201
10/3/2017,-264.9
10/4/2017,-259.49
10/5/2017,-270.121
10/6/2017,-266.286
10/7/2017,-266.209
10/8/2017,-257.496
10/9/2017,-266.256
10/10/2017,-255.826
10/11/2017,-254.868
10/12/2017,-259.777
10/13/2017,-252.887
10/14/2017,-263.248
10/15/2017,-258.468
10/16/2017,-253.915
10/17/2017,-258.236
10/18/2017,-262.581
10/19/2017,-260.389
10/20/2017,-264.539
10/21/2017,-251.374
10/22/2017,-258.565
10/23/2017,-257.594
10/24/2017,-261.718
10/25/2017,-268.619
10/26/2017,-269.429
10/27/2017,-272.085
10/28/2017,-265.272
10/29/2017,-269.126
10/30/2017,-268.21
10/31/2017,-271.34
11/1/2017,-270.277
11/2/2017,-271.672
11/3/2017,-264.43
11/4/2017,-262.032
11/5/2017,-269.594
11/6/2017,-270.202
11/7/2017,-261.86
11/8/2017,-269.308
11/9/2017,-263.073
11/10/2017,-275.59
11/11/2017,-268.646
11/12/2017,-273.87
11/13/2017,-261.107
11/14/2017,-267.392
11/15/2017,-271.925
11/16/2017,-267.438
11/17/2017,-262.572
11/18/2017,-265.954
11/19/2017,-259.273
11/20/2017,-268.126
11/21/2017,-263.878
11/22/2017,-261.633
11/23/2017,-263.721
11/24/2017,-268.339
11/25/2017,-266.929
11/26/2017,-274.116
11/27/2017,-270.05
11/28/2017,-270.648
11/29/2017,-270.426
11/30/2017,-271.116
12/1/2017,-275.506
12/2/2017,-272.51
12/3/2017,-276.757
12/4/2017,-270.125
12/5/2017,-265.278
12/6/2017,-271.272
